"";"class";"sample";"y_mean";"y_sd";"area_above_0";"area_below_0";"classification"
"1";"Class 1";1;0,5082;0,0466;1;0;"Class 1"
"2";"Class 1";2;0,4956;0,0573;1;0;"Class 1"
"3";"Class 1";3;0,1128;0,0484;0,99;0,01;"Class 1"
"4";"Class 1";4;0,4369;0,0425;1;0;"Class 1"
"5";"Class 1";5;0,2655;0,0605;1;0;"Class 1"
"6";"Class 1";6;0,6282;0,0535;1;0;"Class 1"
"7";"Class 1";7;0,4392;0,0579;1;0;"Class 1"
"8";"Class 1";8;0,2487;0,061;1;0;"Class 1"
"9";"Class 1";9;0,7196;0,0728;1;0;"Class 1"
"10";"Class 1";10;0,2058;0,0357;1;0;"Class 1"
"11";"Class 2";1;-0,61;0,0773;0;1;"Class 2"
"12";"Class 2";2;-0,2612;0,0701;0;1;"Class 2"
"13";"Class 2";3;-0,5392;0,0342;0;1;"Class 2"
"14";"Class 2";4;-0,7054;0,0492;0;1;"Class 2"
"15";"Class 2";5;-0,2287;0,0783;0,002;0,998;"Class 2"
"16";"Class 2";6;0,0412;0,1038;0,654;0,346;"Uncertain"
"17";"Class 2";7;-0,2905;0,0761;0;1;"Class 2"
"18";"Class 2";8;-0,5046;0,0653;0;1;"Class 2"
"19";"Class 2";9;-0,4913;0,0736;0;1;"Class 2"
"20";"Class 2";10;-0,4862;0,059;0;1;"Class 2"
